field_1,id,latitude,longitude,place_town,place_coun,DN_AM1,DN_AF1,DN_PM1,area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial
"147","93528506",45.514053333299998,-122.600921666700003,Portland,Multnomah,16.289649963378906,30.448261260986328,27.691389083862305,"6084","128",B,#7cb5bd,B22,Mt. Tabor,"2","1",0.000125519047347,"[ [ 45.505450, -122.612620 ], [ 45.517730, -122.597850 ] ]","45.511,-122.606","1","0","0"
"19","73140023",45.540166930300003,-122.723162630700003,Portland,Multnomah,16.518001556396484,28.097457885742188,27.345741271972656,"6076","128",B,#7cb5bd,B26,Willamette Heights,"2","1",0.000077804316662,"[ [ 45.523570, -122.727930 ], [ 45.540440, -122.697300 ] ]","45.535,-122.716","1","0","0"
"457","192588906",45.511163949199997,-122.696173917899998,Portland,Multnomah,16.493175506591797,29.335456848144531,27.791036605834961,"6065","128",B,#7cb5bd,B28,Portland Heights,"2","1",0.000061334501260,"[ [ 45.507900, -122.701870 ], [ 45.518540, -122.687670 ] ]","45.512,-122.697","1","0","0"
"149","94284521",45.529183333299997,-122.583595000000003,Portland,Multnomah,15.188389778137209,31.467544555664062,29.070833206176754,"6098","128",C,#ffff00,C11,,"3","1",0.000144416892854,"[ [ 45.526870, -122.602180 ], [ 45.533690, -122.576060 ] ]","45.53,-122.582","1","0","0"
"178","95877537",45.527018322700002,-122.578748138700007,Portland,Multnomah,15.201146125793459,31.792032241821289,28.614294052124023,"6098","128",C,#ffff00,C11,,"3","1",0.000144416892854,"[ [ 45.526870, -122.602180 ], [ 45.533690, -122.576060 ] ]","45.53,-122.582","1","0","0"
"390","189283852",45.528205702000001,-122.592514274300001,Portland,Multnomah,15.294343948364258,31.539548873901367,28.552574157714844,"6098","128",C,#ffff00,C11,,"3","1",0.000144416892854,"[ [ 45.526870, -122.602180 ], [ 45.533690, -122.576060 ] ]","45.53,-122.582","1","0","0"
"420","191202735",45.556140736899998,-122.563931614300003,Portland,Multnomah,15.982563972473145,31.632724761962891,29.311408996582031,"6118","128",C,#ffff00,C15,Rose Park,"3","1",0.000111546332695,"[ [ 45.553490, -122.576190 ], [ 45.561030, -122.547510 ] ]","45.557,-122.555","1","0","0"
"7","70064801",45.478079999999999,-122.653663333300003,Portland,Multnomah,16.167366027832031,31.448518753051754,29.321477890014648,"6047","128",C,#ffff00,C18,Westmoreland District,"3","1",0.000072970661317,"[ [ 45.473520, -122.657270 ], [ 45.484490, -122.641800 ] ]","45.479,-122.651","1","0","0"
"366","188303146",45.481643052000003,-122.650748109700004,Portland,Multnomah,16.087692260742188,31.470376968383789,29.249906539916992,"6047","128",C,#ffff00,C18,Westmoreland District,"3","1",0.000072970661317,"[ [ 45.473520, -122.657270 ], [ 45.484490, -122.641800 ] ]","45.479,-122.651","1","0","0"
"367","188306469",45.467518335299999,-122.656982895100001,Portland,Multnomah,16.377693176269531,31.573192596435547,29.179607391357418,"6045","128",C,#ffff00,C19,Sellwod,"3","1",0.000221765564731,"[ [ 45.458350, -122.661770 ], [ 45.470210, -122.638150 ] ]","45.464,-122.654","1","0","0"
"368","188309432",45.460629882799999,-122.643166627599996,Portland,Multnomah,15.964545249938965,31.482397079467773,29.313238143920898,"6045","128",C,#ffff00,C19,Sellwod,"3","1",0.000221765564731,"[ [ 45.458350, -122.661770 ], [ 45.470210, -122.638150 ] ]","45.464,-122.654","1","0","0"
"60","75599170",45.590927777799998,-122.754555555600007,Portland,Multnomah,15.782247543334959,31.632654190063477,29.786222457885746,"6115","128",C,#ffff00,C2,St. Johns,"3","1",0.000256840536954,"[ [ 45.581780, -122.756620 ], [ 45.597190, -122.727890 ] ]","45.591,-122.737","1","0","0"
"186","96260488",45.590871967299996,-122.750630043399994,Portland,Multnomah,15.696526527404785,31.686143875122070,29.687801361083984,"6115","128",C,#ffff00,C2,St. Johns,"3","1",0.000256840536954,"[ [ 45.581780, -122.756620 ], [ 45.597190, -122.727890 ] ]","45.591,-122.737","1","0","0"
"145","93224407",45.497394999999997,-122.639716666699996,Portland,Multnomah,15.909099578857422,31.273130416870117,29.245943069458008,"6052","128",C,#ffff00,C20,,"3","1",0.000174513483222,"[ [ 45.480710, -122.642810 ], [ 45.497720, -122.619510 ] ]","45.493,-122.636","1","0","0"
"370","188318031",45.485641644399998,-122.623703638199999,Portland,Multnomah,15.507698059082031,31.386674880981445,29.215028762817383,"6052","128",C,#ffff00,C20,,"3","1",0.000174513483222,"[ [ 45.480710, -122.642810 ], [ 45.497720, -122.619510 ] ]","45.493,-122.636","1","0","0"
"376","188432780",45.527245066299997,-122.631968121699998,Portland,Multnomah,16.080194473266602,31.243829727172852,29.320810317993164,"6083","128",C,#ffff00,C21,Sunnnyside,"3","1",0.000121784785265,"[ [ 45.512510, -122.634930 ], [ 45.533830, -122.622960 ] ]","45.519,-122.633","1","0","0"
"453","192382107",45.510199319999998,-122.613107110000001,Portland,Multnomah,15.331152915954590,31.238719940185547,28.950313568115234,"6079","128",C,#ffff00,C22,Richmond,"3","1",0.000176251145761,"[ [ 45.497950, -122.622960 ], [ 45.519350, -122.612130 ] ]","45.509,-122.62","1","0","0"
"454","192384390",45.508971150000001,-122.613191630000003,Portland,Multnomah,15.226513862609863,31.263864517211918,28.916610717773438,"6079","128",C,#ffff00,C22,Richmond,"3","1",0.000176251145761,"[ [ 45.497950, -122.622960 ], [ 45.519350, -122.612130 ] ]","45.509,-122.62","1","0","0"
"378","189151463",45.477645000000003,-122.613955000000004,Portland,Multnomah,14.778337478637695,31.156507492065430,29.399650573730469,"6051","128",C,#ffff00,C24,Woodstock,"3","1",0.000073769950790,"[ [ 45.462810, -122.622490 ], [ 45.478830, -122.608510 ] ]","45.475,-122.619","1","0","0"
"379","189151698",45.477722548000003,-122.613955149500001,Portland,Multnomah,14.789975166320801,31.148818969726562,29.387079238891602,"6051","128",C,#ffff00,C24,Woodstock,"3","1",0.000073769950790,"[ [ 45.462810, -122.622490 ], [ 45.478830, -122.608510 ] ]","45.475,-122.619","1","0","0"
"3","51849686",45.516288333299997,-122.596641666699995,Portland,Multnomah,16.203371047973633,29.823871612548828,27.481084823608398,"6089","128",C,#ffff00,C25,Mt. Tabor District,"3","1",0.000188494941975,"[ [ 45.516150, -122.614960 ], [ 45.526140, -122.581120 ] ]","45.522,-122.603","1","0","0"
"391","189285312",45.525040880200002,-122.602434372999994,Portland,Multnomah,15.822084426879883,31.360355377197266,29.436641693115234,"6089","128",C,#ffff00,C25,Mt. Tabor District,"3","1",0.000188494941975,"[ [ 45.516150, -122.614960 ], [ 45.526140, -122.581120 ] ]","45.522,-122.603","1","0","0"
"430","191215334",45.496122460000002,-122.604503219999998,Portland,Multnomah,15.037398338317873,31.692886352539062,28.870777130126953,"6057","128",C,#ffff00,C28,Mt. Scott District,"3","1",0.000201406864474,"[ [ 45.483410, -122.609750 ], [ 45.497310, -122.578750 ] ]","45.493,-122.592","1","0","0"
