OBJECTID,SDOT Unit ID,SPR Unit ID,SDCI Unit ID,SPU Tree Unit ID,SPU Planting Unit ID,Pest Unit ID,Source Department,Scientific Name,Common Name,DBH,Ownership,Unit Description,GLOBALID,x,y,DN_AF1,lat,lon
"41578279",TRE-1131124,,,,,TRE-1131124,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"1",Private,471 WHEELER ST,0e128103-9fd5-4c3d-93cc-53e50a37d952,1267175.43538147,237399.806165636,87.4867324829102,47.6407610661,-122.3474707282
"41578323",TRE-1126496,,,,,TRE-1126496,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,711 BELMONT AVE E,c4aee84b-81eb-43b4-bdbd-b6ef6220dbc8,1272708.96105981,231755.237730384,88.061637878418,47.6255856977,-122.3245849484
"41578406",TRE-1123929,,,,,TRE-1123929,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"5",Private,5241 23RD AVE SW,07914d5e-1d6b-4107-8041-787d5093b09f,1263022.27570881,205951.85757871,87.920051574707,47.5543386039,-122.3617809446
"41578413",TRE-1124195,,,,,TRE-1124195,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"10",Private,4459 26TH AVE SW,d17d1d74-dfc2-4047-98ec-0e7943626aee,1262085.14667755,209111.904736295,88.1219177246094,47.5629490440,-122.3658301037
"41578434",TRE-1121953,,,,,TRE-1121953,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,4073 GILMAN AVE W,1fd2183a-dddd-4bbd-be0f-80da02cce38b,1257195.04622155,243619.568004295,84.2729949951172,47.6572634874,-122.3884569730
"41578525",TRE-1119897,,,,,TRE-1119897,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Private,2601 26TH PL W,846eb7b7-1719-4256-a2d2-df603ffe36b0,1256941.98800065,241998.425577298,86.62255859375,47.6528060333,-122.3893506040
"41578570",TRE-1115510,,,,,TRE-1115510,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"16",Private,2015 NE 100TH ST,c65e1917-cadc-41b7-a9a2-6023d12505c1,1277725.26598781,259236.318922967,85.5358734130859,47.7011755484,-122.3063793582
"41578580",TRE-1115946,,,,,TRE-1115946,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,1040 NE NORTHGATE WAY,192455a3-2c47-49d1-8c45-1185d1803ad5,1275305.90763757,262400.694812045,87.545524597168,47.7097216402,-122.3164505426
"41578586",TRE-1116224,,,,,TRE-1116224,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"31",Private,2005 NE NORTHGATE WAY,db845386-06ea-4e78-8c3c-f4d11def4a03,1277878.99796382,261872.13911064,86.7458648681641,47.7084083401,-122.3059599702
"41578624",TRE-1114699,,,,,TRE-1114699,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"28",Private,3018 NE 96TH ST,9316c6e3-0da9-4146-88fc-f7fb9c57447b,1280418.00108789,258187.774760216,87.8385238647461,47.6984422722,-122.2953648561
